event_id,timestamp,account_id,amount,currency,event_type,reference
1,1427155200,BERKA-1,100.00,CZK,C|CIC,trans=1;balance=100.00
2,1428883200,BERKA-1,367.90,CZK,C|COB,trans=5;balance=467.90;bank=AB;counterparty=41403269
3,1431475200,BERKA-1,367.90,CZK,C|COB,trans=6;balance=2097.72;bank=AB;counterparty=41403269
4,1434153600,BERKA-1,367.90,CZK,C|COB,trans=7;balance=2683.52;bank=AB;counterparty=41403269
5,1436745600,BERKA-1,367.90,CZK,C|COB,trans=8;balance=3041.48;bank=AB;counterparty=41403269
6,1439424000,BERKA-1,367.90,CZK,C|COB,trans=9;balance=2890.27;bank=AB;counterparty=41403269
7,1442102400,BERKA-1,367.90,CZK,C|COB,trans=10;balance=2271.43;bank=AB;counterparty=41403269
8,1444694400,BERKA-1,367.90,CZK,C|COB,trans=11;balance=2331.82;bank=AB;counterparty=41403269
9,1447372800,BERKA-1,367.90,CZK,C|COB,trans=12;balance=2172.11;bank=AB;counterparty=41403269
10,1449964800,BERKA-1,367.90,CZK,C|COB,trans=13;balance=2024.86;bank=AB;counterparty=41403269
11,1452643200,BERKA-1,367.90,CZK,C|COB,trans=14;balance=1787.00;bank=AB;counterparty=41403269
12,1455321600,BERKA-1,367.90,CZK,C|COB,trans=15;balance=1480.65;bank=AB;counterparty=41403269
13,1457827200,BERKA-1,367.90,CZK,C|COB,trans=16;balance=1617.86;bank=AB;counterparty=41403269
14,1460505600,BERKA-1,367.90,CZK,C|COB,trans=17;balance=1765.68;bank=AB;counterparty=41403269
15,1463097600,BERKA-1,367.90,CZK,C|COB,trans=18;balance=1693.67;bank=AB;counterparty=41403269
16,1465776000,BERKA-1,367.90,CZK,C|COB,trans=19;balance=1565.24;bank=AB;counterparty=41403269
17,1468368000,BERKA-1,367.90,CZK,C|COB,trans=20;balance=1797.04;bank=AB;counterparty=41403269
18,1471046400,BERKA-1,367.90,CZK,C|COB,trans=21;balance=1812.55;bank=AB;counterparty=41403269
19,1473724800,BERKA-1,367.90,CZK,C|COB,trans=22;balance=2040.37;bank=AB;counterparty=41403269
20,1476316800,BERKA-1,367.90,CZK,C|COB,trans=23;balance=1999.48;bank=AB;counterparty=41403269
21,1478995200,BERKA-1,367.90,CZK,C|COB,trans=24;balance=1801.05;bank=AB;counterparty=41403269
22,1481587200,BERKA-1,367.90,CZK,C|COB,trans=25;balance=1649.53;bank=AB;counterparty=41403269
23,1484265600,BERKA-1,367.90,CZK,C|COB,trans=26;balance=1508.69;bank=AB;counterparty=41403269
24,1486944000,BERKA-1,367.90,CZK,C|COB,trans=27;balance=1574.47;bank=AB;counterparty=41403269
25,1489363200,BERKA-1,367.90,CZK,C|COB,trans=28;balance=1581.53;bank=AB;counterparty=41403269
26,1492041600,BERKA-1,367.90,CZK,C|COB,trans=29;balance=1247.96;bank=AB;counterparty=41403269
27,1494633600,BERKA-1,367.90,CZK,C|COB,trans=30;balance=1374.16;bank=AB;counterparty=41403269
28,1497312000,BERKA-1,367.90,CZK,C|COB,trans=31;balance=1383.81;bank=AB;counterparty=41403269
29,1499904000,BERKA-1,367.90,CZK,C|COB,trans=32;balance=1660.57;bank=AB;counterparty=41403269
30,1502582400,BERKA-1,367.90,CZK,C|COB,trans=33;balance=1668.22;bank=AB;counterparty=41403269
31,1505260800,BERKA-1,367.90,CZK,C|COB,trans=34;balance=1670.17;bank=AB;counterparty=41403269
32,1507852800,BERKA-1,367.90,CZK,C|COB,trans=35;balance=1797.90;bank=AB;counterparty=41403269
33,1510531200,BERKA-1,367.90,CZK,C|COB,trans=36;balance=1816.38;bank=AB;counterparty=41403269
34,1513123200,BERKA-1,367.90,CZK,C|COB,trans=37;balance=1474.87;bank=AB;counterparty=41403269
35,1515801600,BERKA-1,367.90,CZK,C|COB,trans=38;balance=1535.27;bank=AB;counterparty=41403269
36,1518480000,BERKA-1,367.90,CZK,C|COB,trans=39;balance=1490.10;bank=AB;counterparty=41403269
